Source;Target;Weight
Ronit Nossenson;Hagit Attiya;2.000000
Sandy Irani;Baruch Schieber;0.333200
Sandy Irani;Steven S. Seiden;2.000000
Sandy Irani;Kirk Pruhs;1.000000
Sandy Irani;Prabhakar Raghavan;2.333200
Sandy Irani;Anna R. Karlin;0.666600
Sandy Irani;Chaitanya Swamy;0.666600
Sandy Irani;Amos Fiat;1.000000
Sandy Irani;Yuval Rabani;2.000000
Sandy Irani;Ronitt Rubinfeld;0.499900
Sandy Irani;Moni Naor;0.333300
Sandy Irani;Allan Borodin;0.333200
Sandy Irani;Ran Canetti;2.000000
Moritz Hardt;Rocco A. Servedio;0.666600
Moritz Hardt;David P. Woodruff;1.000000
Moritz Hardt;Ankur Moitra;1.000000
Moritz Hardt;Madhur Tulsiani;0.333300
Moritz Hardt;Satyen Kale;0.333300
Moritz Hardt;Kunal Talwar;2.000000
Moritz Hardt;Anupam Gupta;0.333200
Moritz Hardt;Aaron Roth;3.333200
Moritz Hardt;Katrina Ligett;0.666600
Moritz Hardt;Jonathan Ullman;0.333200
Moritz Hardt;Frank McSherry;0.666600
Hagit Attiya;Eli Gafni;0.466500
Hagit Attiya;Roy Friedman;4.666400
Hagit Attiya;Danny Hendler;3.233000
Hagit Attiya;Nir Shavit;1.133100
Hagit Attiya;Keren Censor-Hillel;1.666500
Hagit Attiya;Rachid Guerraoui;1.333000
Hagit Attiya;Alla Gorbach;0.666600
Hagit Attiya;Marios Mavronicolas;1.000000
Hagit Attiya;Eric Ruppert;0.333300
Hagit Attiya;Danny Dolev;1.299700
Hagit Attiya;Maurice Herlihy;0.666600
Hagit Attiya;Panagiota Fatourou;0.999900
Hagit Attiya;Taly Djerassi-Shintel;2.000000
Hagit Attiya;Alex Kogan;0.666600
Hagit Attiya;Amotz Bar-Noy;0.833200
Hagit Attiya;Eshcar Hillel;8.666600
Hagit Attiya;Philipp Woelfel;0.666600
Hagit Attiya;Arie Fouren;3.433300
Hagit Attiya;Roman Vitenberg;0.333200
Hagit Attiya;Eran Aharonson;2.000000
Hagit Attiya;Petr Kuznetsov;0.399800
Hagit Attiya;Eyal Dagan;2.000000
Hagit Attiya;Amir Herzberg;0.666600
Hagit Attiya;Ophir Rachman;2.666600
Hagit Attiya;Yishay Mansour;1.035700
Hagit Attiya;Soma Chaudhuri;0.333200
Hagit Attiya;Alessia Milani;4.333200
Hagit Attiya;Faith Ellen;1.166500
Hagit Attiya;Allon Adir;0.333300
Hagit Attiya;Jennifer L. Welch;4.999700
Hagit Attiya;Amir Bar-Or;2.000000
Hagit Attiya;Isaac Keslassy;0.666600
Hagit Attiya;Vincent Gramoli;0.666600
Hagit Attiya;Rajeev Alur;0.666600
Hagit Attiya;Sergio Rajsbaum;3.666600
Hagit Attiya;Armando Castañeda;1.000000
Hagit Attiya;Adnan Agbaria;0.333200
Hagit Attiya;Yaniv Kaplan;0.333300
Hagit Attiya;Shlomi Dolev;0.866400
Hagit Attiya;Hadas Shachnai;2.999800
Hagit Attiya;Keren Censor;3.999900
Hagit Attiya;Manfred K. Warmuth;0.333300
Hagit Attiya;James Aspnes;1.666400
Hagit Attiya;Larry J. Stockmeyer;0.333200
Hagit Attiya;Leah Epstein;0.333200
Hagit Attiya;David Hay;5.999900
Hagit Attiya;Gadi Taubenfeld;0.666600
Hagit Attiya;Jon M. Kleinberg;0.333300
Hagit Attiya;Faith Ellen Fich;0.333300
Hagit Attiya;Petr Kouznetsov;0.499900
Hagit Attiya;Marc Snir;2.333300
Hagit Attiya;Noam Rinetzky;0.333300
Hagit Attiya;G. Ramalingam;0.333300
Hagit Attiya;Rinat Rappoport;2.000000
Hagit Attiya;Shlomo Moran;0.666600
Hagit Attiya;Gil Shurek;0.333300
Hagit Attiya;Zvi Avidor;1.000000
Hagit Attiya;Nancy A. Lynch;5.368800
Hagit Attiya;Ronit Nossenson;2.000000
Hagit Attiya;Vita Bortnikov;2.000000
Hagit Attiya;Tami Tamir;0.999800
Hagit Attiya;Cynthia Dwork;0.333200
Hagit Attiya;Ami Paz;1.000000
Elad Verbin;Haim Kaplan;4.666400
Elad Verbin;Yishay Mansour;0.333300
Elad Verbin;Micha Sharir;0.666500
Elad Verbin;Shiteng Chen;0.333300
Elad Verbin;Adam Tauman Kalai;0.333300
Elad Verbin;Richard M. Karp;0.300000
Elad Verbin;Constantinos Daskalakis;0.300000
Philip S. Yu;Zhongfei Zhang;0.666500
Philip S. Yu;Xindong Wu;0.333300
Philip S. Yu;Jiawei Han;8.781200
Philip S. Yu;Sang-Wook Kim;0.333300
Philip S. Yu;Christos Faloutsos;1.066400
Philip S. Yu;Aris Anagnostopoulos;0.333200
Philip S. Yu;Hanghang Tong;0.799800
Philip S. Yu;Jimeng Sun;1.199800
Philip S. Yu;Spiros Papadimitriou;3.399400
Philip S. Yu;Hadas Shachnai;2.999900
Ara Hayrapetyan;Chaitanya Swamy;0.333300
Ara Hayrapetyan;Éva Tardos;1.333200
Ara Hayrapetyan;Tom Wexler;0.999900
Kevin A. Kwiat;Warren Debany;0.333300
Kevin A. Kwiat;Salim Hariri;0.333300
Mike Spreitzer;Douglas B. Terry;0.833000
Mike Spreitzer;Karin Petersen;0.833000
Mike Spreitzer;Alan J. Demers;0.433200
Mike Spreitzer;Marvin Theimer;3.833000
Jeffrey C. Jackson;Andrew Tomkins;1.000000
Jeffrey C. Jackson;Prasad Chalasani;0.333300
Jeffrey C. Jackson;Avrim Blum;0.733100
Jeffrey C. Jackson;Eli Shamir;0.666600
Jeffrey C. Jackson;Rocco A. Servedio;4.499800
Jeffrey C. Jackson;Tuomas Sandholm;0.333200
Jeffrey C. Jackson;Martin Zinkevich;0.333200
Peter Bailey;Jie Tang;0.333300
Peter Bailey;Ryen W. White;0.947400
Vasilis Syrgkanis;Éva Tardos;3.999900
Vasilis Syrgkanis;Renato Paes Leme;0.999900
Jin Suk Kim;Frank Thomson Leighton;0.333300
Jin Suk Kim;Eric Lehman;0.333300
Alon Itai;Eyal Kushilevitz;0.666600
Alon Itai;Alon Efrat;1.666600
Alon Itai;Jayme Luiz Szwarcfiter;0.333300
Alon Itai;Shai Ben-David;0.666600
Alon Itai;Oded Goldreich;1.333200
Alon Itai;László Babai;0.333300
Alon Itai;Matthew J. Katz;0.333300
Alon Itai;Ido Dagan;3.333300
Alon Itai;Mihalis Yannakakis;0.333200
Alon Itai;Rajeev Alur;0.333200
Alon Itai;Christos H. Papadimitriou;0.499900
Alon Itai;Yefim Dinitz;0.333300
Alon Itai;Shlomo Moran;0.666600
Alon Itai;Hadas Shachnai;2.999900
Alon Itai;Noga Alon;0.333300
Sambuddha Roy;Venkatesan T. Chakaravarthy;7.266200
Sambuddha Roy;Yogish Sabharwal;2.066200
Sambuddha Roy;Suman Kalyan Bera;0.333200
Sambuddha Roy;Amit Kumar;0.799800
Sambuddha Roy;Vinayaka Pandit;0.699800
Sambuddha Roy;Shalmoli Gupta;0.333200
Jure Leskovec;Andrew Tomkins;0.347400
Jure Leskovec;Bernhard Schölkopf;0.666600
Jure Leskovec;Ajit Singh;0.333300
Jure Leskovec;Lars Backstrom;2.566500
Jure Leskovec;Mary McGlohon;0.366600
Jure Leskovec;Mengqiu Wang;0.666600
Jure Leskovec;Lada A. Adamic;0.999900
Jure Leskovec;Marko Grobelnik;0.433300
Jure Leskovec;Susan T. Dumais;0.333300
Jure Leskovec;Deepayan Chakrabarti;0.433200
Jure Leskovec;Carlos Guestrin;0.733200
Jure Leskovec;Dan Jurafsky;0.666600
Jure Leskovec;Purnamrita Sarkar;0.333300
Jure Leskovec;Bernardo A. Huberman;0.999900
Jure Leskovec;Daniel A. McFarland;0.766600
Jure Leskovec;Ashton Anderson;0.333200
Jure Leskovec;Robert West;2.000000
Jure Leskovec;Chenguang Zhu;0.666600
Jure Leskovec;Myunghwan Kim 0002;8.000000
Jure Leskovec;Julian J. McAuley;4.666600
Jure Leskovec;Andreas Krause;1.399800
Jure Leskovec;Anirban Dasgupta;0.499800
Jure Leskovec;Stephen Guo;0.666600
Jure Leskovec;Daniel P. Huttenlocher;2.333000
Jure Leskovec;Dan J. Wang;0.333300
Jure Leskovec;Jon M. Kleinberg;3.932800
Jure Leskovec;Eunjoon Cho;0.333300
Jure Leskovec;Natasa Milic-Frayling;0.333300
Jure Leskovec;Seth A. Myers;3.999900
Jure Leskovec;Sanjay Ram Kairam;0.333300
Jure Leskovec;John Shawe-Taylor;1.000000
Jure Leskovec;Kevin J. Lang;1.166400
Jure Leskovec;Michael W. Mahoney;1.166400
Jure Leskovec;Christos Faloutsos;4.047200
Jure Leskovec;Jaewon Yang;7.000000
Jure Leskovec;Xiaolin Shi;0.766600
Jure Leskovec;Manuel Gomez-Rodriguez;1.666500
Jure Leskovec;Eric Horvitz;1.333300
Gaurav S. Sukhatme;Andreas Krause;0.333300
Gaurav S. Sukhatme;Jonathan Binney;1.433300
Gaurav S. Sukhatme;Ramesh Govindan;0.447500
Gaurav S. Sukhatme;William J. Kaiser;0.849700
Arno Schöegge;David Kempe;1.000000
Zohar Shay Karnin;Yuval Rabani;0.999900
Zohar Shay Karnin;Amir Shpilka;0.999900
Yuri Breitbart;Minos N. Garofalakis;0.833000
Yuri Breitbart;Hector Garcia-Molina;0.833200
Yuri Breitbart;Abraham Silberschatz;5.699700
Yuri Breitbart;Rajeev Rastogi;1.799600
Yuri Breitbart;Amit Kumar;0.433200
Yuri Breitbart;Harry B. Hunt III;0.333300
Yuri Breitbart;Yigal Bejerano;0.433200
Yuri Breitbart;Daniel J. Rosenkrantz;0.333300
Yuri Breitbart;Ruoming Jin;1.099900
Hyung-Jeong Yang;Pinar Duygulu;0.499800
Hyung-Jeong Yang;Christos Faloutsos;0.880700
Hyung-Jeong Yang;Jia-Yu Pan;0.880700
Erick Chastain;Adi Livnat;0.333200
Erick Chastain;Christos H. Papadimitriou;0.333200
Erick Chastain;Umesh V. Vazirani;0.333200
Brian Gallagher;Tina Eliassi-Rad;3.547100
Brian Gallagher;Christos Faloutsos;0.447400
Brian Gallagher;Hanghang Tong;0.447400
Paat Rusmevichientong;David P. Williamson;1.000000
Paat Rusmevichientong;David B. Shmoys;0.666600
Paat Rusmevichientong;John N. Tsitsiklis;2.666600
Alin Dobra;Rajeev Rastogi;0.499800
Alin Dobra;Minos N. Garofalakis;0.499800
Alin Dobra;David Kempe;0.333300
Alin Dobra;Johannes Gehrke;2.833100
Mark Jerrum;Mike Paterson;0.666500
Mark Jerrum;Frank Thomson Leighton;0.333200
Mark Jerrum;Sampath Kannan;0.433200
Mark Jerrum;Marek Karpinski;0.666600
Mark Jerrum;Alan M. Frieze;4.766500
Mark Jerrum;Paul W. Goldberg;2.000000
Mark Jerrum;Vijay V. Vazirani;0.333300
Mark Jerrum;Marc Snir;1.000000
Mark Jerrum;Gregory B. Sorkin;2.000000
Mark Jerrum;Catherine S. Greenhill;0.799800
Mark Jerrum;Leslie Ann Goldberg;28.560400
Mark Jerrum;Satish Rao;0.333200
Mark Jerrum;Eric Vigoda;1.999900
Mark Jerrum;Alistair Sinclair;7.666600
Mark Jerrum;Martin E. Dyer;7.560800
Mark Jerrum;Ravi Kannan;0.333300
Mark Jerrum;Umesh V. Vazirani;2.000000
Paul W. Goldberg;Rahul Savani;1.499600
Paul W. Goldberg;Xiaotie Deng;0.333200
Paul W. Goldberg;Konstantinos Daskalakis;0.333300
Paul W. Goldberg;Christos H. Papadimitriou;3.999800
Paul W. Goldberg;Gregory B. Sorkin;0.333200
Paul W. Goldberg;Leslie Ann Goldberg;5.265200
Paul W. Goldberg;Mark Jerrum;2.000000
Paul W. Goldberg;Vahab S. Mirrokni;0.500000
Paul W. Goldberg;Sally A. Goldman;1.833200
Paul W. Goldberg;Constantinos Daskalakis;0.999900
Danny Segev;Ojas Parekh;2.666600
Danny Segev;Guy Even;0.333200
Danny Segev;Amit Kumar;0.333200
Danny Segev;Jochen Könemann;0.666600
Danny Segev;Ravishankar Krishnaswamy;0.333200
Danny Segev;Refael Hassin;7.333200
Danny Segev;Leah Epstein;0.833000
Danny Segev;Anupam Gupta;0.666400
Danny Segev;Asaf Levin;2.833000
Danny Segev;Chandra Chekuri;0.333200
Fan R. K. Chung;Frank Thomson Leighton;2.147000
Fan R. K. Chung;Ronald L. Graham;20.098700
Fan R. K. Chung;Noga Alon;2.666600
Fan R. K. Chung;Paul Horn;2.333200
Fan R. K. Chung;George Varghese;0.499900
Fan R. K. Chung;William Aiello;0.866600
Fan R. K. Chung;Michael E. Saks;0.333300
Fan R. K. Chung;Arnold L. Rosenberg;3.013700
Fan R. K. Chung;Béla Bollobás;1.000000
Fan R. K. Chung;Kevin J. Lang;1.333200
Fan R. K. Chung;Sandeep N. Bhatt;2.013700
Fan R. K. Chung;Daniel J. Kleitman;0.333300
Fan R. K. Chung;Zoltán Füredi;0.333200
Ingemar J. Cox;Frank Thomson Leighton;0.333200
Ingemar J. Cox;Joe Kilian;0.499800
Ingemar J. Cox;Talal Shamoon;0.499800
Ingemar J. Cox;Natasa Milic-Frayling;2.066100
Ahuva Mu'alem;Mahyar Salek;0.333300
Ahuva Mu'alem;Ron Lavi;0.666600
Ahuva Mu'alem;Michael Schapira;3.000000
Ahuva Mu'alem;David Kempe;0.333300
Matthew Faulkner;Daniel Golovin;0.666600
Matthew Faulkner;Dan Feldman;0.333300
Matthew Faulkner;Andreas Krause;1.133100
S. S. Ravi;Daniel J. Rosenkrantz;8.943500
S. S. Ravi;Madhav V. Marathe;8.622000
S. S. Ravi;Ravi Sundaram;0.542600
S. S. Ravi;Harry B. Hunt III;4.175000
S. S. Ravi;R. Ravi;0.842600
Shlomi Dolev;Danny Hendler;0.333300
Shlomi Dolev;Rachid Guerraoui;0.433200
Shlomi Dolev;Sergio Rajsbaum;2.666600
Shlomi Dolev;Anish Arora;0.666600
Shlomi Dolev;Shlomo Moran;2.333100
Shlomi Dolev;Hagit Attiya;0.866400
Shlomi Dolev;Christian Scheideler;1.000000
Shlomi Dolev;Limor Lahiani;2.402100
Shlomi Dolev;Philippas Tsigas;0.833000
Shlomi Dolev;David Peleg;0.333200
Shlomi Dolev;Jennifer L. Welch;9.632900
Shlomi Dolev;Rafail Ostrovsky;2.666600
Shlomi Dolev;Alexander A. Shvartsman;0.902200
Shlomi Dolev;Michael Segal;1.433000
Shlomi Dolev;Seth Gilbert;1.333000
Shlomi Dolev;Tina Nolte;0.366600
Shlomi Dolev;Calvin C. Newport;0.599800
Shlomi Dolev;Roberto Segala;0.333300
Shlomi Dolev;Nancy A. Lynch;0.699800
Anna Pogosyants;Roberto Segala;1.666600
Anna Pogosyants;Nancy A. Lynch;0.866600
Bee-Chung Chen;Raghu Ramakrishnan;2.635300
Bee-Chung Chen;Deepak Agarwal;6.201900
Bee-Chung Chen;Bo Pang;0.333300
Michael J. Kearns;Siddharth Suri;0.433300
Michael J. Kearns;Daphne Koller;1.000000
Michael J. Kearns;Dana Ron;4.599600
Michael J. Kearns;Yishay Mansour;7.866000
Michael J. Kearns;Umesh V. Vazirani;1.000000
Michael J. Kearns;Naftali Tishby;0.333200
Michael J. Kearns;Manfred K. Warmuth;0.333200
Michael J. Kearns;Sally A. Goldman;3.666500
Michael J. Kearns;John Langford;0.499900
Michael J. Kearns;Nick Littlestone;0.333200
Michael J. Kearns;Eyal Even-Dar;2.166500
Michael J. Kearns;Sham M. Kakade;1.100000
Pawel Pralat;Anthony Bonato;4.733000
Pawel Pralat;Alan M. Frieze;0.666600
Pawel Pralat;Noga Alon;1.333300
Pawel Pralat;Paul Horn;0.533300
Pawel Pralat;Colin Cooper;1.533300
Pawel Pralat;Tomasz Luczak;2.000000
Pawel Pralat;Nicholas C. Wormald;1.933200
Xuemin Shen;Mohammad Towhidul Islam;0.666400
Xuemin Shen;Ajit Singh;0.966400
Xuemin Shen;Hui Chen;1.333200
Xuemin Shen;Sagar Naik;0.766500
Xuemin Shen;Mohammad Mursalin Akon;1.133000
Xuemin Shen;Kshirasagar Naik;1.499700
John Langford;Manuel Blum;0.499900
John Langford;David A. McAllester;2.000000
John Langford;John Shawe-Taylor;1.000000
John Langford;Adam Kalai;0.333300
John Langford;Sebastian Thrun;0.666600
John Langford;Nimrod Megiddo;0.333300
John Langford;Sanjoy Dasgupta;1.666600
John Langford;Sharad Goel;0.333300
John Langford;Carl Burch;0.333300
John Langford;Martin Zinkevich;0.666600
John Langford;Gregory B. Sorkin;0.333200
John Langford;Avrim Blum;4.833200
John Langford;Manfred K. Warmuth;0.333300
John Langford;Michael J. Kearns;0.499900
John Langford;Daniel Marcu;0.666600
John Langford;Matthias Seeger;0.333300
John Langford;Sham M. Kakade;0.499900
John Langford;Maria-Florina Balcan;0.799800
Vladlen Koltun;Alon Efrat;0.433200
Vladlen Koltun;Micha Sharir;12.094800
Vladlen Koltun;Jason D. Hartline;1.000000
Vladlen Koltun;Leonidas J. Guibas;0.428500
Vladlen Koltun;Christos H. Papadimitriou;2.000000
Vladlen Koltun;Daniel Cohen-Or;0.666600
Vladlen Koltun;Pankaj K. Agarwal;1.095000
Vladlen Koltun;Dimitris Achlioptas;1.000000
Ming-Deh A. Huang;Alok Aggarwal;1.000000
Ming-Deh A. Huang;Shang-Hua Teng;3.000000
Ming-Deh A. Huang;Ashish Goel;0.314200
David C. Parkes;Bernardo A. Huberman;1.000000
David C. Parkes;Jie Tang;0.666600
David C. Parkes;Sven Seuken;1.866300
David C. Parkes;Tuomas Sandholm;0.399800
David C. Parkes;Mohammad Taghi Hajiaghayi;0.499900
David C. Parkes;Grant Schoenebeck;1.000000
David C. Parkes;Joseph Y. Halpern;2.000000
David C. Parkes;Kamal Jain;0.466500
David C. Parkes;Subhash Suri;0.666600
David C. Parkes;Joan Feigenbaum;0.333300
David C. Parkes;Robert D. Kleinberg;0.499900
David C. Parkes;Eric Horvitz;0.366400
Amit Chakrabarti;Andrew McGregor;2.332900
Amit Chakrabarti;Lisa Fleischer;0.666600
Amit Chakrabarti;Fillia Makedon;0.499900
Amit Chakrabarti;Khanh Do Ba;0.666600
Amit Chakrabarti;T. S. Jayram;0.333300
Amit Chakrabarti;S. Muthukrishnan;0.666600
Amit Chakrabarti;Subhash Khot;3.999900
Amit Chakrabarti;Anupam Gupta;0.333200
Amit Chakrabarti;Amit Kumar;0.333200
Amit Chakrabarti;Yuval Rabani;0.333200
Amit Chakrabarti;Gruia Calinescu;0.333200
Amit Chakrabarti;Howard J. Karloff;0.333200
Amit Chakrabarti;Chandra Chekuri;0.333200
Peter S. Kim;Phil Bradley;0.333300
Peter S. Kim;Bonnie Berger;0.333300
Peter S. Kim;Mona Singh;1.000000
Chiara Petrioli;Alessandro Panconesi;0.666400
Jørgen F. Søgaard-Andersen;Rainer Gawlick;0.333200
Jørgen F. Søgaard-Andersen;Butler W. Lampson;0.666600
Jørgen F. Søgaard-Andersen;Roberto Segala;0.333200
Jørgen F. Søgaard-Andersen;Nancy A. Lynch;1.099800
Steven McCanne;Hui Zhang;0.333300
Steven McCanne;Gene Cheung;5.333300
Steven McCanne;Christos H. Papadimitriou;0.333300
Steven McCanne;Scott Shenker;0.666600
Steven McCanne;Randy H. Katz;1.666500
Michael W. Mahoney;David P. Woodruff;0.333200
Michael W. Mahoney;Petros Drineas;10.065900
Michael W. Mahoney;Jure Leskovec;1.166400
Michael W. Mahoney;Malik Magdon-Ismail;0.333200
Michael W. Mahoney;Ravi Kannan;1.999800
Michael W. Mahoney;S. Muthukrishnan;1.499800
Michael W. Mahoney;Boulos Harb;0.400000
Michael W. Mahoney;Anirban Dasgupta;0.899800
Michael W. Mahoney;Ravi Kumar;0.300000
Michael W. Mahoney;Nisheeth K. Vishnoi;0.333300
Michael W. Mahoney;Kevin J. Lang;1.499700
Chandrashekhar Nagarajan;Yogeshwer Sharma;0.333300
Chandrashekhar Nagarajan;David P. Williamson;2.666500
Chandrashekhar Nagarajan;Rajmohan Rajaraman;0.333200
Chandrashekhar Nagarajan;Guolong Lin;0.333200
Scott Faro;Michael Barnathan;0.300000
Scott Faro;Vasileios Megalooikonomou;0.366600
Scott Faro;Feroze B. Mohamed;0.347600
Scott Faro;Christos Faloutsos;0.300000
Richard M. Karp;Danny Dolev;0.666600
Richard M. Karp;Prabhakar Raghavan;0.333300
Richard M. Karp;Vijay V. Vazirani;0.633100
Richard M. Karp;Amos Fiat;0.466400
Richard M. Karp;Elad Verbin;0.300000
Richard M. Karp;Eli Upfal;1.666500
Richard M. Karp;Michael Sipser;1.000000
Richard M. Karp;Michael E. Saks;0.666500
Richard M. Karp;Alan M. Frieze;0.666600
Richard M. Karp;Ran El-Yaniv;1.333200
Richard M. Karp;Umesh V. Vazirani;0.466500
Richard M. Karp;Constantinos Daskalakis;0.799800
Richard M. Karp;Eric P. Xing;1.833100
Richard M. Karp;Dan Gusfield;0.333200
Richard M. Karp;Richard J. Lipton;1.200000
Richard M. Karp;Christos H. Papadimitriou;3.114100
Richard M. Karp;Scott Shenker;1.366300
Richard M. Karp;Rajeev Motwani;0.333300
Richard M. Karp;Phillip B. Gibbons;0.433200
Richard M. Karp;Michael Luby;3.899600
Richard M. Karp;Paul Beame;0.333200
Richard M. Karp;Arnold L. Rosenberg;0.333300
Richard M. Karp;Robert Kleinberg;1.000000
Richard M. Karp;Bruce A. Reed;0.666600
Richard M. Karp;Gary L. Miller;0.333200
Richard M. Karp;Tao Jiang;3.433200
Richard M. Karp;Micah Adler;1.266500
Richard M. Karp;Claire Kenyon;1.766600
Richard M. Karp;G. Turpin;0.333200
Maria-Florina Balcan;Yishay Mansour;2.499500
Maria-Florina Balcan;Georgios Piliouras;0.499800
Maria-Florina Balcan;Nicholas J. A. Harvey;3.000000
Maria-Florina Balcan;Jason D. Hartline;0.333200
Maria-Florina Balcan;Satoru Iwata;0.333200
Maria-Florina Balcan;Shai Fine;0.333200
Maria-Florina Balcan;Andrei Z. Broder;0.333300
Maria-Florina Balcan;Shang-Hua Teng;0.933300
Maria-Florina Balcan;Ke Yang;0.333300
Maria-Florina Balcan;Avrim Blum;13.265800
Maria-Florina Balcan;Eric Blais;0.333200
Maria-Florina Balcan;Nathan Srebro;0.666600
Maria-Florina Balcan;Liu Yang;0.333200
Maria-Florina Balcan;John Langford;0.799800
Maria-Florina Balcan;Santosh Vempala;1.099900
Maria-Florina Balcan;Anupam Gupta;0.333300
Martin Skutella;Lisa Fleischer;3.000000
Martin Skutella;Alexander Hall;1.435500
Martin Skutella;David P. Williamson;2.000000
Martin Skutella;Esther M. Arkin;0.300000
Martin Skutella;Fabrizio Grandoni;0.499800
Martin Skutella;Joseph S. B. Mitchell;0.300000
Martin Skutella;Michel X. Goemans;2.100000
Martin Skutella;José R. Correa;0.666600
Alan Guo;Madhu Sudan;3.666600
Alan Guo;Andrea Campagna;0.333300
Alan Guo;Erik D. Demaine;0.333300
Alan Guo;Ronitt Rubinfeld;0.333300
Supratik Chakraborty;Amit Kumar;1.000000
Alexander Hall;Danica Vukadinovic;0.399800
Alexander Hall;Alessandro Panconesi;0.399800
Alexander Hall;Christos H. Papadimitriou;1.666600
Alexander Hall;Evdokia Nikolova;0.666600
Alexander Hall;Thomas Erlebach;3.544600
Alexander Hall;Martin Skutella;1.435500
Vyas Sekar;Srinivasan Seshan;0.414000
Vyas Sekar;Ion Stoica;0.352200
Vyas Sekar;Hui Zhang;1.818600
Vyas Sekar;Yinglian Xie;0.433200
Vyas Sekar;Michael K. Reiter;1.599600
Vyas Sekar;Anupam Gupta;0.333200
Marios Mavronicolas;Maurice Herlihy;0.799600
Marios Mavronicolas;Panagiota Fatourou;1.999800
Marios Mavronicolas;Malik Magdon-Ismail;1.499700
Marios Mavronicolas;Michael Merritt;0.666600
Marios Mavronicolas;Marina Papatriantafilou;0.333300
Marios Mavronicolas;Philippas Tsigas;0.333300
Marios Mavronicolas;Gadi Taubenfeld;0.666600
Marios Mavronicolas;Chryssis Georgiou;0.333300
Marios Mavronicolas;Hagit Attiya;1.000000
Marios Mavronicolas;Elias Koutsoupias;0.866600
Marina Thottan;Vahab S. Mirrokni;0.766400
Marina Thottan;Rajeev Rastogi;0.714200
Marina Thottan;Michel X. Goemans;0.333200
Alexander Schrijver;Éva Tardos;0.333300
Alexander Schrijver;Cor A. J. Hurkens;1.333300
Alexander Schrijver;Peter Winkler;0.333300
Alexander Schrijver;F. Bruce Shepherd;0.333200
Alexander Schrijver;Bruce A. Reed;0.499800
Alexander Schrijver;Ravi Kannan;0.333300
Dharmendra S. Modha;Nimrod Megiddo;2.000000
Dharmendra S. Modha;Jorge Campello;0.333300
Dharmendra S. Modha;Sridhar Rajagopalan;0.333300
Dharmendra S. Modha;Larry J. Stockmeyer;2.000000
Aaron Roth;Grant Schoenebeck;2.333200
Aaron Roth;Christine Chung;0.499800
Aaron Roth;Tim Roughgarden;2.000000
Aaron Roth;Nicole Immorlica;0.333300
Aaron Roth;Avrim Blum;1.833200
Aaron Roth;Morteza Zadimoghaddam;2.000000
Aaron Roth;Kunal Talwar;0.533200
Aaron Roth;Anupam Gupta;1.533000
Aaron Roth;Katrina Ligett;3.533000
Aaron Roth;Moritz Hardt;3.333200
Aaron Roth;Shaddin Dughmi;0.333300
Aaron Roth;Kirk Pruhs;0.499800
Aaron Roth;Moshe Babaioff;0.666600
Aaron Roth;Jonathan Ullman;1.499700
Aaron Roth;Sanjeev Khanna;0.666600
Shashank Pandit;Christos Faloutsos;0.666500
Shashank Pandit;Samuel Wang;0.333200
Shashank Pandit;Duen Horng Chau;0.666500
Sigal Ar;Madhu Sudan;0.333200
Sigal Ar;Richard J. Lipton;0.333200
Sigal Ar;Bernard Chazelle;0.333300
Sigal Ar;Ronitt Rubinfeld;0.333200
Michael Langberg;Dan Feldman;2.000000
Michael Langberg;Marek Karpinski;1.333200
Michael Langberg;David Peleg;0.833000
Michael Langberg;Leonard J. Schulman;3.999900
Michael Langberg;Chaitanya Swamy;0.333300
Michael Langberg;Yuval Rabani;0.333300
Michael Langberg;Uriel Feige;3.333100
Michael Langberg;Jehoshua Bruck;2.332800
Daryl Pregibon;Christos Faloutsos;0.333300
Daryl Pregibon;Padhraic Smyth;0.666500
Andrew V. Goldberg;Tomasz Radzik;2.666600
Andrew V. Goldberg;Haim Kaplan;0.433300
Andrew V. Goldberg;Michael Sipser;2.000000
Andrew V. Goldberg;David B. Shmoys;0.399800
Andrew V. Goldberg;Jason D. Hartline;5.066300
Andrew V. Goldberg;Éva Tardos;0.733100
Andrew V. Goldberg;Anna R. Karlin;0.599800
Andrew V. Goldberg;Bruce M. Maggs;0.333300
Andrew V. Goldberg;Amos Fiat;0.666400
Andrew V. Goldberg;Satish Rao;4.000000
Andrew V. Goldberg;Serge A. Plotkin;2.899400
Andrew V. Goldberg;Ittai Abraham;1.033000
Deepak Bal;Andrzej Dudek;0.333300
Deepak Bal;Alan M. Frieze;1.000000
Olivier Pereira;Ran Canetti;0.609400
Olivier Pereira;Dilsun Kirli Kaynar;0.442800
Olivier Pereira;Nancy A. Lynch;0.609400
Olivier Pereira;Ling Cheung;0.942700
Olivier Pereira;Sayan Mitra;0.333300
Nikos Chrisochoides;L. Paul Chew;0.666600
Nikos Chrisochoides;Démian Nave;2.933200
Rosie Jones;Andrew Tomkins;0.333200
Rosie Jones;Dmitry Pechyony;0.333200
Rosie Jones;Bo Pang;0.333200
Rosie Jones;Ravi Kumar;0.333200
Wei Hong;Amol Deshpande;0.533200
Wei Hong;Carlos Guestrin;0.466600
Wei Hong;Ramesh Govindan;0.561800
Wei Hong;Joseph M. Hellerstein;1.566300
Wei Hong;Randy H. Katz;1.000000
Wei Hong;Samuel Madden;2.466300
Georgios I. Papadimitriou;Christos H. Papadimitriou;0.333300
Georgios I. Papadimitriou;Foto N. Afrati;0.333300
Subhash Khot;Johan Håstad;2.000000
